ztfname,ra,dec,coord_source,iau_name,ztfname,z,t0,x0,x1,c,mwebv,mwr_v,z_err,t0_err,x0_err,x1_err,c_err,mwebv_err,mwr_v_err,cov_t_x0,cov_t_x1,cov_t_c,cov_x0_x1,cov_x0_c,cov_x1_c,fitprob,lccoverage_flag,fitquality_flag,frac_fitted,peak_mag_ztfg,peak_mag_ztfr,phot_version
ZTF18abixkdo,243.952115,19.65707,fritz,2018eak,ZTF18abixkdo,0.03034527,58328.84100444768,0.0027578813091128002,-2.1299278804549346,0.04369663963357706,0.04166588958833533,3.1,0.0,0.15516511189343873,0.00010170037003342808,0.13635597617031447,0.03468330892869661,0.0,0.0,1.7254119254877715e-06,-0.0024130014540432758,-0.0004399991807610998,-2.208588680399429e-06,-2.9179670153570262e-06,-0.00014995426358881464,0.0005285702121582865,1.0,1.0,100.0,16.961632384253907,17.01155632636127,2022dec05
ZTF18abjrznx,221.290554,9.273507,fritz,2018efn,ZTF18abjrznx,0.02397958,58325.00000133275,0.0008387311724303014,-2.685718811703104,0.7794482288892842,0.02504267500846815,3.1,0.0,0.12839285943846335,5.6711135909437655e-05,0.47829697392430903,0.06877015930131686,0.0,0.0,-4.191520356631933e-11,-1.267814665845154e-07,-7.888659142114438e-09,-9.672537970466995e-06,-3.2775225137454205e-06,0.005093151171798244,4.108575598561876e-08,0.0,0.0,100.0,17.921722743383402,17.13107307831004,2023jul25
ZTF18abklaoj,223.384589,3.070487,fritz,2018edd,ZTF18abklaoj,0.02795989,58329.21282972212,0.0026538440158038186,-2.615573994125469,0.12919377327433168,0.0389174598555637,3.1,0.0,0.8348148339973704,0.00023261510667119036,0.4998458746450285,0.05997425869311403,0.0,0.0,-0.00014268105035370065,-0.10738343000403922,0.013836324213476397,-1.4325176606023135e-05,-1.0554943427439719e-05,0.00713316807152454,0.18149259567824494,0.0,1.0,100.0,16.966589833716426,16.908172004406005,2022dec05
ZTF18abltdfj,246.302109,40.840348,fritz,2018eyi,ZTF18abltdfj,0.03038273,58340.00000083785,0.0003367472014199904,-1.8875533966307745,0.7126706438945944,0.0054605056351387255,3.1,0.0,0.022138075750262942,1.4349823196886424e-05,0.10739761039400997,0.0359536005788339,0.0,0.0,-3.81471758864459e-12,-8.520569809179937e-09,3.808394774190254e-09,-8.478284516778298e-08,-4.6248103955342714e-07,-0.00042945179666057526,1.8339111801332316e-99,1.0,0.0,96.99248120300751,18.946857250403262,18.24880372173212,2023jul25
ZTF18ablwtkf,279.466269,51.83808,fritz,2018ezz,ZTF18ablwtkf,0.0306357,58347.2910459594,0.0015482217932748937,-2.346008540407078,0.1191868225430656,0.04075892244281918,3.1,0.0,0.1200113981103641,5.078367182351727e-05,0.05200690953664333,0.029323440599678174,0.0,0.0,-8.50937846685147e-07,-0.0015728135546696758,-7.189860309069633e-05,7.028949955749727e-08,-1.2829720124581372e-06,-0.00012024855909134617,1.982347429051101e-34,1.0,0.0,99.16317991631799,17.556632020402628,17.51523838726445,2022dec05
ZTF18abmjcbs,331.736667,51.40727,fritz,,ZTF18abmjcbs,0.05201079,58349.135222363264,0.0007559917184022199,-2.937205883033976,0.21158679392798946,0.408614972074387,3.1,0.0,0.171498566527589,3.3351153875046914e-05,0.165488024801707,0.037617314684187345,0.0,0.0,-3.226968320516015e-07,-0.006923142135971217,5.853131422952815e-06,-1.0787875918674711e-06,-1.1399478504680679e-06,0.0009308131009176965,3.4630651543097677e-10,1.0,0.0,100.0,18.294218988231385,18.13464620863829,2022dec05
ZTF18abnzocn,41.029631,37.524313,fritz,2018foc,ZTF18abnzocn,0.03065788,58360.76375564505,0.00024541095899772845,-3.137364007985412,0.9685868302904174,0.04783347726190098,3.1,0.0,0.13193686812155647,1.2489533123067755e-05,0.21623212884024845,0.04143808883399508,0.0,0.0,-5.366316621419631e-07,-0.0008284521008762434,0.001634188042300932,-4.959356384791764e-07,-4.807815102868736e-07,0.0009200975857802103,5.049947406142768e-26,1.0,0.0,95.32710280373831,19.160492453844036,18.15249205868711,2022dec05
ZTF18absnqyo,315.584347,19.962821,fritz,2018fvw,ZTF18absnqyo,0.03861004,58374.10024872895,0.0011516091931422566,-3.484927603220809,0.2232272921153435,0.1287215899936003,3.1,0.0,0.18724151466449257,4.567787770247487e-05,0.3250257659833111,0.04109119724531786,0.0,0.0,-7.023914992748165e-07,0.022129185977829677,0.00020288975752771836,-3.655205902763592e-06,-1.5023248630424945e-06,0.0014796134268771465,0.07482562705356356,1.0,0.0,100.0,17.830729037507083,17.646539977323187,2022dec05
ZTF18abtnbys,103.085796,46.989168,fritz,,ZTF18abtnbys,0.04247939,58373.792056465405,0.00019287645255799846,-4.999999999634385,0.637816179774868,0.08087304311594767,3.1,0.0,0.1483795694039145,8.10075989006051e-06,0.08281721356603011,0.039175658242969424,0.0,0.0,-1.07013236945328e-07,-7.734154276787136e-10,0.0006191947611412918,4.731388963596441e-14,-2.7605830941245036e-07,-1.8534767363265607e-10,4.030535258286358e-09,1.0,0.0,100.0,19.579814763258426,18.893288475819382,2022dec05
ZTF18acefgoc,123.931669,58.314809,fritz,2018hls,ZTF18acefgoc,0.02705388,58403.85520732312,0.0009519287549817486,0.23377868512129513,0.39512762405869833,0.05156376843343867,3.1,0.0,0.19643362705755862,4.403113279107527e-05,0.18839623451437326,0.03471818085575912,0.0,0.0,3.464393536555336e-06,-0.02688873082760149,-0.0011977664198776726,-4.8117854402971535e-06,-1.2768694668422468e-06,0.0014356582355930423,1.7068252207911575e-17,1.0,0.0,100.0,17.970754427273345,17.67516526811826,2022dec05
